uid_countries,countries,Continent
f43b18f1-489d-4752-b4d6-4ddaac989fb9,Swizterland,Europe
5bbfb451-c340-4859-b789-96035a6d849f,France,Europe
4fa765eb-577f-4789-84f7-f70b3a5f221a,Germany,Europe
61250d1f-10ca-48d3-8b9c-ac40a442b54c,Italy,Europe
193d2935-c799-4d01-a27f-8ec7ddb98767,Holland,Europe
e51a7f24-8c0a-4dc0-9ee9-aefda2da97f1,Luxembourg,Europe
c76e7df4-0149-4d78-8ca9-5d2041a4fc81,Spain,Europe
688baceb-4ead-4191-889f-b3d1291d2144,Portual,Europe
2da25a74-8f21-4533-8271-d90b8898474e,Belgium,Europe
9406fc21-be20-424d-84ad-235501c23aad,United Kingdom,Europe
69612b99-20be-4284-a694-b79b0941891b,United States,America
b09f88a9-cca6-4b18-ab1f-8d620295b450,Canada,America
1029a3fa-2e1a-4b3b-8293-722c9547c213,Mexico,America
cea233c4-6e84-4ad4-84ff-f553526d2f6e,Japan,Asia
d5c17728-eda5-4d89-937e-8a09d0539a36,China,Asia
0374c12c-2f1c-4d76-93e7-9b88bb98587c,Vietnam,Asia
6c477392-b70b-4731-b8e9-55e377bb4df6,Egypt,Africa
a812c151-1c98-4a7e-a226-e844c2bd7c1c,Tunisia,Africa
647a83e1-2a07-4560-8854-1c31e614d036,Algeria,Africa
fd222cbe-78bc-4c6c-a69f-d513d7fe7123,Morocco,Africa
52a7c8c1-06a2-41d0-9669-541790089195,Nigeria,Africa
45cc079a-1b95-47b6-8cc6-1a651c5c3899,Australia,Oceania
7757db83-189a-4a14-9b84-eac1f49d5a4c,New Zealand,Oceania
